EXP UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-L2(0),NI,Passive,CV1-TC45,TC45,CV1TC45,T1-TC-L2(0),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-L2(180),NI,Passive,CV1-TC33,TC33,CV1TC33,T1-TC-L2(180),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-L1(0),NI,Passive,CV1-TC46,TC46,CV1TC46,T1-TC-L1(0),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-L1(180),NI,Passive,CV1-TC39,TC39,CV1TC39,T1-TC-L1(180),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-M0(0),NI,Passive,CV1-TC47,TC47,CV1TC47,T1-TC-M0(0),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Control,T1,TC,Generic,2HCHS(150)-1-TC-M0(180),NI,Passive,CV1-TC25,TC25,CV1TC25,T1-TC-M0(180)*,,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-R1(0),NI,Passive,CV1-TC48,TC48,CV1TC48,T1-TC-R1(0),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-R1(180),NI,Passive,CV1-TC27,TC27,CV1TC27,T1-TC-R1(180),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-R2(0),NI,Passive,CV1-TC49,TC49,CV1TC49,T1-TC-R2(0),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Meas,T1,TC,Generic,2HCHS(150)-1-TC-R2(180),NI,Passive,CV1-TC37,TC37,CV1TC37,T1-TC-R2(180),,,,FM
EXP_H_221219_CV1_CVFP_A2,EXP_H_221219,Heater,CV1,A3,CVHS7-220808,Process,T1,H,HC8,2HCHS(150)-1,H8-L/N,HC8(HB2/CB2),DAC-HB-SSR-HC8,NI->HC58,H8-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
